id,series,talks_list,website,series_info
124,"IAC Talks",[[talks]](/cosmotalks/talks?series=124),[[website]](https://www.youtube.com/c/IACvideos/videos),"<a href=""https://iactalks.iac.es/talks/category/1"">IAC seminars site</a>"
91,"IAP (Institut d'Astrophysique de Paris)",[[talks]](/cosmotalks/talks?series=91),[[website]](https://www.youtube.com/playlist?list=PLUgAV7nixQ3_lh6Bn_i4q06WOUrGa5Bcn),""
154,"IAP 2022 Conference",[[talks]](/cosmotalks/talks?series=154),[[website]](https://webcast.in2p3.fr/container/iap-2022-conference),""
141,ICRANet,[[talks]](/cosmotalks/talks?series=141),[[website]](https://www.youtube.com/channel/UCU19scWRGvlIiKBcN1QXCRQ/videos),""
17,"ICTP Adv School on Cosmology 2015",[[talks]](/cosmotalks/talks?series=17),[[website]](https://indico.ictp.it/event/a14277/other-view?view=ictptimetable),""
16,"ICTP Cosmology Summer School 2016",[[talks]](/cosmotalks/talks?series=16),[[website]](https://indico.ictp.it/event/7626/other-view?view=ictptimetable),""
193,"ICTP HECAP events",[[talks]](/cosmotalks/talks?series=193),[[website]](https://www.youtube.com/@ictphighenergycosmologyand3398),""
71,"ICTP Salam Distinguished Lectures",[[talks]](/cosmotalks/talks?series=71),[[website]](https://www.ictp.it/home/salam-distinguished-lectures-series?ty%5B51%5D=51),""
18,"ICTP Summer School 2015",[[talks]](/cosmotalks/talks?series=18),[[website]](https://indico.ictp.it/event/a14276/other-view?view=ictptimetable),""
9,"ICTP Summer School on Cosmology 2018",[[talks]](/cosmotalks/talks?series=9),[[website]](https://indico.ictp.it/event/8317/other-view?view=ictptimetable),""
155,"ICTP Summer School on Cosmology 2022",[[talks]](/cosmotalks/talks?series=155),[[website]](https://indico.ictp.it/event/9810/other-view?view=ictptimetable),""
10,"ICTP Summer School on Particle Physics 2017",[[talks]](/cosmotalks/talks?series=10),[[website]](https://indico.ictp.it/event/7968/other-view?view=ictptimetable),""
8,"ICTP Summer School on Particle Physics 2019",[[talks]](/cosmotalks/talks?series=8),[[website]](https://indico.ictp.it/event/8690/other-view?view=ictptimetable),""
120,"ICTP Summer School on Particle Physics 2021",[[talks]](/cosmotalks/talks?series=120),[[website]](https://indico.ictp.it/event/9538/other-view?view=ictptimetable),""
192,"ICTP Summer School on Particle Physics 2023",[[talks]](/cosmotalks/talks?series=192),[[website]](https://indico.ictp.it/event/10182/other-view?view=ictptimetable),""
51,"ICTP-SAIFR 3rd S.A. Dark Matter Workshop (Dec. 2020)",[[talks]](/cosmotalks/talks?series=51),[[website]](https://www.ictp-saifr.org/dmw2020/),""
63,"ICTP-SAIFR Challenges for the Standard Cosmological Model (2021)",[[talks]](/cosmotalks/talks?series=63),[[website]](https://www.ictp-saifr.org/cosmo2021/),""
128,"ICTP-SAIFR cosmology talks",[[talks]](/cosmotalks/talks?series=128),[[website]](https://www.youtube.com/channel/UCHZD5-4GF1lLLUklsxyt3fw/videos),""
53,"ICTP-SAIFR Early Universe Cosmology, Baryogenesis and Dark Matter Workshop (Oct. 2019)",[[talks]](/cosmotalks/talks?series=53),[[website]](https://www.ictp-saifr.org/dark-universe-workshop-early-universe-cosmology-baryogenesis-and-dark-matter/),""
5,"ICTP-SAIFR Latin American Workshop on Observational Cosmology (Dec. 2020)",[[talks]](/cosmotalks/talks?series=5),[[website]](https://www.ictp-saifr.org/lawoc2020/),""
52,"ICTP-SAIFR New Trends in Dark Matter workshop (Dec. 2020)",[[talks]](/cosmotalks/talks?series=52),[[website]](https://www.ictp-saifr.org/ntdm2020/),""
7,"ICTP-SAIFR School on Observational Cosmology 2019",[[talks]](/cosmotalks/talks?series=7),[[website]](https://www.ictp-saifr.org/iii-joint-ictp-trieste-ictp-saifr-school-on-observational-cosmology/),""
73,"ICTP-SAIFR School on Open Problems in Cosmology (2017)",[[talks]](/cosmotalks/talks?series=73),[[website]](https://www.ictp-saifr.org/ictp-triesteictp-saifr-school-on-open-problems-in-cosmology/),"recordings, slides, lecture notes are no longer available at the site"
69,"ICTP-SAIFR Workshop on Cosmology in the LSST Era (Dec. 2018)",[[talks]](/cosmotalks/talks?series=69),[[website]](https://www.ictp-saifr.org/south-american-workshop-on-cosmology-in-the-lsst-era/),""
129,"ICTS Physics of the Early Universe (2022 program)",[[talks]](/cosmotalks/talks?series=129),[[website]](https://www.icts.res.in/program/peu2022/talks),""
95,"ICTS Physics of the Early Universe (Sept 2020 program)",[[talks]](/cosmotalks/talks?series=95),[[website]](https://www.icts.res.in/program/peu/talks),""
29,"ICTS Talks",[[talks]](/cosmotalks/talks?series=29),[[website]](https://videos.icts.res.in/),""
117,"IFCA (Instituo de Fisica de Cantabria)",[[talks]](/cosmotalks/talks?series=117),[[website]](https://indico.ifca.es),"<a href=""https://indico.ifca.es/event/1199/timetable/#all.detailed"">Dark Matter 2021 Workshop</a>, <a href=""https://www.youtube.com/@DifusionIFCA/featured"">Youtube</a>"
133,"IFPU Colloquia",[[talks]](/cosmotalks/talks?series=133),[[website]](https://www.ifpu.it/?page_id=1972),""
98,"IFT Webinars",[[talks]](/cosmotalks/talks?series=98),[[website]](https://www.youtube.com/channel/UCcdmQRtxk_xdpt9iFATTDQQ/videos),""
144,"IIT Gandhinagar",[[talks]](/cosmotalks/talks?series=144),[[website]](https://www.youtube.com/c/IITGN1/videos),""
12,"INAF OAS Bologna",[[talks]](/cosmotalks/talks?series=12),[[website]](https://www.youtube.com/@inafoasbologna278/videos),"<a href=""https://www.oas.inaf.it/past-events/"">past seminar events</a>"
32,"Institute for Advanced Study (IAS)",[[talks]](/cosmotalks/talks?series=32),[[website]](https://www.ias.edu/video?tags=All&search=cosmology),""
203,"Institute of Astrophysics FORTH",[[talks]](/cosmotalks/talks?series=203),[[website]](https://www.youtube.com/@IAFORTH/videos),"<a href=""https://www.ia.forth.gr/seminars"">website</a>"
139,"Institute of Space Sciences (ICE-CSIC)",[[talks]](/cosmotalks/talks?series=139),[[website]](https://www.youtube.com/channel/UCXkxVRGumDPHn5E0QjojiQg/videos),""
164,"International Institute of Physics",[[talks]](/cosmotalks/talks?series=164),[[website]](https://www.youtube.com/c/iiptv/videos),""
84,"International Loop Quantum Gravity Seminar",[[talks]](/cosmotalks/talks?series=84),[[website]](https://relativity.phys.lsu.edu/ilqgs/),""
201,"International Society for Quantum Gravity",[[talks]](/cosmotalks/talks?series=201),[[website]](https://www.youtube.com/@isqg423/videos),""
147,"International Space Science Institute",[[talks]](/cosmotalks/talks?series=147),[[website]](https://www.youtube.com/user/issibern/videos),""
160,"Intl Conf on General Relativity and Gravitation (July 2022)",[[talks]](/cosmotalks/talks?series=160),[[website]](https://www.koushare.com/video/meetBranchVideo/605/748),""
74,"ITB Summer School on Galaxies and Cosmology 2020",[[talks]](/cosmotalks/talks?series=74),[[website]](https://www.as.itb.ac.id/ssgc2020/programs/),"slides available at website"
137,"ITC (Institute for Theory and Computation)",[[talks]](/cosmotalks/talks?series=137),[[website]](https://www.youtube.com/channel/UCTuACIrLKPTlp6XMZbeipig/videos),""
167,"IUCAA Lectures, Colloquia, Live Streams",[[talks]](/cosmotalks/talks?series=167),[[website]](https://www.youtube.com/c/IUCAALive/videos),"<a href=""https://www.youtube.com/@NRCIUCAA/videos"">NRC IUCAA</a>"
180,"KASI Cosmology Group",[[talks]](/cosmotalks/talks?series=180),[[website]](https://www.youtube.com/@coskasi9935/videos),"<a href=""https://cosmology.kasi.re.kr/index.php"">site</a>"
48,"KICP Colloquia",[[talks]](/cosmotalks/talks?series=48),[[website]](https://www.youtube.com/channel/UCejbBNzH6AfWNwg5V_AQGlg/videos),""
44,"KICP Cosmic Controversies conference",[[talks]](/cosmotalks/talks?series=44),[[website]](https://kicp-workshops.uchicago.edu/2019-COSMIC/program.php),""
34,KIPAC,[[talks]](/cosmotalks/talks?series=34),[[website]](https://kipac.stanford.edu/events/colloquium#block-views-block-colloquia-block-1),""
42,"KITP Cosmology Talks",[[talks]](/cosmotalks/talks?series=42),[[website]](https://online.kitp.ucsb.edu/cgi-bin/rcarini/search.py?title_words=&speaker=&field=Y&min_scope=0&since_year=2005&inst=),"<a href=""https://jrdmb.netlify.app?BShdEJC3RGdCgrdR"">Talks for each KITP Cosmology-related event</a>"
170,"Korean Institute for Advanced Study",[[talks]](/cosmotalks/talks?series=170),[[website]](https://www.youtube.com/channel/UCVXTeRaZ8oFPEN40IMvgeww/videos),""
186,"Kyoto University (YITP)",[[talks]](/cosmotalks/talks?series=186),[[website]](https://www.yukawa.kyoto-u.ac.jp/en-GB/contents/seminar),""
178,"Laboratoire AstroParticule et Cosmologie",[[talks]](/cosmotalks/talks?series=178),[[website]](https://www.youtube.com/@laboratoireastroparticulec7396/videos),"<a href=""https://apc.u-paris.fr/APC_CS/"">apc.u-paris.fr/APC_CS</a>"
109,"Latin American Webinars on Physics",[[talks]](/cosmotalks/talks?series=109),[[website]](https://lawphysics.wordpress.com/),""
115,"Learn the Universe - an ML X Cosmology Workshop (Simons Fdn)",[[talks]](/cosmotalks/talks?series=115),[[website]](https://www.simonsfoundation.org/event/learn-the-universe-an-ml-x-cosmology-workshop/),""
14,LeCosPA,[[talks]](/cosmotalks/talks?series=14),[[website]](https://www.youtube.com/@LeCosPA),"<a href=""https://www.lecospa.ntu.edu.tw/"">Leung Center for Cosmology and Particle Astrophysics</a>"
116,"Les Houches Summer School 2021: Dark Matter",[[talks]](/cosmotalks/talks?series=116),[[website]](https://indico.cern.ch/event/949654/),""
